ko,en,ko_len,en_len
"상상 속에는 도처에 화려한 동상이 세워져 있다.
","In our imaginations, there are gorgeous bronze statues everywhere.
",27,67
"""폼페이에 온 것을 환영합니다"".
","Welcome to Pompeii.
",19,20
"원시 로마 거리는 울퉁불퉁하다.
","The original Roman streets are uneven.
",18,39
"‘불비’가 3일 동안 계속 내렸다.
","The ""rain of fire"" lasted for three days.
",20,42
"물론 아이들은 이 주형을 좋아했다.
","The kids, of course, loved the casts.
",20,38
"심슨(60)은 라스베이거스 교도소에 격리 수용돼있다.
","Simpson, 60, is in isolation at a Las Vegas jail.
",30,50
"중국은 대만을 본토의 일부로 생각하고 있다.
","Beijing regards Taiwan as part of its territory.
",25,49
"워너브러더스는 지난주에도 ‘3:
","The Warner Bros. film displaced last week's box-office winner, ""3:
",18,67
"알렉산더는 맥카란 국제 공항에 가는 도중 체포됐다.
","Alexander, a Nevada resident, was arrested on his way to McCarran International Airport, a source told CNN.
",29,108
"심슨은 이 기념품이 자신의 것이라고 주장했다.
","Simpson has said the items belonged to him.
",26,44
"심슨은 총을 소지 않았으며 강도가 아니었다고 말했다.
","Simpson said no guns were involved and that the incident was not a robbery.
",30,76
"심슨은 무죄를 주장하고 이 사건은 오해라고 주장했다.
","Simpson has maintained his innocence and called the incident a misunderstanding.
",30,81
"대통령으로서의 임기는 오는 11월 만료된다.
","His five-year presidential term expires in November.
",25,53
"퍼거슨은 “대런은 6주간 결장할 것”이라고 덧붙였다.
","""Darren will be out for six weeks,"" said Ferguson.
",30,51
"단지 휴가만 보내지 마라.
","NEW YORK (CNN) Don't just take a vacation.
",15,43
"당신 삶을 바꿔라.
","Change your life.
",11,18
"사람들은 변화된 삶을 경험하길 바란다.
","People go for life-changing experiences.
",22,41
"쇠고기 패티도 병사들이 선호하는 메뉴다.
","The beef patty is also a favorite, Aylward says.
",23,49
"목격자들의 질의과 증언이 14일 시작됐다.
","The questioning of witnesses and presentation of evidence was
",24,62
"이 지역은 지난 이틀간 강진과 여진으로 황폐해졌다.
","The region has been wracked by quakes and aftershocks for the past two days.
",29,77
"인도네시아 정부는 쓰나미 경보를 발령했다 해제했다.
","The Indonesian government issued, then canceled, a tsunami alert.
",29,66
"부상자나 피해규모에 대한 즉각적인 보고는 없었다.
","There were no immediate reports of injuries or damage.
",28,55
"이 지진은 셀레베스섬 약 21km 심해에서 발생했다.
","The temblor vibrated under the Celebes Sea at a depth of about 21 km (13 miles).
",30,81
"그의 부모는 거의 말을 잇지 못했다.
","His parents were rendered speechless.
",21,38
"그들은 입이 양쪽 귀에 걸릴 정도로 기뻐했다.
","Quite simply they grinned from ear to ear.
",26,43
"그들은 말이 필요 없었다.
","They didn't need to speak.
",15,27
"정말 파랗다.
","""Oh my God, it's so green.
",8,27
"내가 천국에 있나요?”
","Am I in heaven?
",13,16
"나 좀 꼬집어달라”고 말했다.
","""Someone needs to pinch me.""
",17,29
"가족은 11일 오전 요르단을 거쳐 미국에 도착했다.
","The family left Amman, Jordan, early Tuesday en route to the United States.
",29,76
"출발하기 전날 밤 유시프는 잠을 이루지 못했다.
","The night before they departed, Youssif didn't sleep a wink.
",27,61
"그는 아침 일찍 가족들을 깨워 ‘가자!’
","He woke the family up extra early, shouting, ""Let's go!
",23,56
"고 졸랐다.
","Let's go!
",7,10
"이름과는 달리 옥토버페스트는 9월말에 시작된다.
","Despite its name, Oktoberfest begins in late September.
",27,56
"일반 맥주는 맛이 부드러우며 탄산가스가 적은 편이다.
","The Oktoberfest brews, which are pale ales, tend to be light and sweet with low carbonation.
",30,93
"가격표를 보고 놀랄 필요는 없다.
","Don't be surprised if you are asked to pay more than the menu price.
",19,69
"독일에서 맥주잔은 ‘크러그’(Krug)로 불린다.
","In Germany, it is a Krug.
",28,26
"한편 맥주를 마시기 전 건배를 하는 것을 잊지 말자.
","As a rule, everyone at the table drinks together, and all glasses are ""clinked"" before drinking.
",30,97
"‘오프라윈프리쇼’는 이번 에 시카고에서 촬영을 한다.
","The show is produced in Chicago.
",30,33
"그녀는 지난달 석방됐다.
","She was freed last month.
",14,26
"문제의 일기는 케이트 맥캔 소유로 추측되고 있다.
","It has been speculated that the dairies in question are those kept by Kate McCann.
",28,83
"한편 이날 주식시장에서 은행의 하락세가 뚜렷했다.
","Banks were the main losers on the day;
",28,39
"그는 이렇게 급속히 관계가 진전돼 놀라워했다.
","He is surprised at how far relations have progressed.
",26,54
"민주당)의 질문에 답변했다.
","""Our job is to do the nation's bidding.
",16,40
"그는 거의 1분간 진동이 느껴졌다고 말했다.
","He said he felt shaking for almost a minute.
",25,45
"“아이를 만드세요…
","Make a baby.
",11,13
"제프는 성폭행에 가담한 혐의를 받고 있다.
","Jeffs is accused of being an accomplice to rape.
",24,49
"북한은 그 사이를 틈타 2골을 기록했다.
","North Korea scored twice in her absence.
",23,41
"북한은 계속해서 역습을 시도했다.
","North Korea always counterattacked, seldom waiting for a slow buildup.
",19,71
"여론은 명확했다.
","NEW YORK (CNN) The consensus is clear:
",10,39
"그러나 그의 몸매에 대한 추잡한 말이 오가고 있다.
","But what about the nastiest comments of all those about her body?
",29,66
"브리트니가 두 아이의 엄마란 사실을 잊고 있다.
","Did Spears, lest we forget a mother of two.
",27,44
"사실 사람들이 브리트니에게 관심이 많긴 하다.
","Certainly people were curious to see her.
",26,42
"스피어스가 뚱뚱한가?
","She wasn't fat.
",12,16
"결승전은 오늘 30일 상하이에서 치러진다.
","The final is on September 30th in Shanghai.
",24,44
"일년의 대부분은 화창한 날씨를 기대해도 된다.
","the sun shines most days of the year.
",26,38
"우즈의 코그힐 골프장에서의 우승은 이번이 4번째다.
","All that mattered at the moment was winning at Cog Hill for the fourth time.
",29,77
"오스카 수상자 제이미 폭스도 짧은 쇼를 선보였다.
","Oscar-winning actor Jamie Foxx also put on a brief show.
",28,57
"몇 개의 맨홀도 눈에 띄며 회반죽도 남아 있다.
","Several manholes are visible, and portions of the original plastering remain, he said.
",27,87
"딸인 마우린은 2001년 8월 암으로 사망했다.
","Their daughter Maureen died in August 2001 after a battle with cancer.
",27,71
"알츠 하이머를 앓고 있던 레이건은 참석하지 못했다.
","Reagan, suffering from Alzheimer's disease, was not well enough to attend.
",29,75
"그는 90여분의 협상 끝에 결국 파키스탄을 떠났다.
","After 90 minutes of negotiations he was allowed to enter the airport where he was taken into custody and then put on a plane out of Pakistan.
",29,142
"공항 근처의 보안도 한층 강화됐다.
","Security around Islamabad's airport was also tightened, police sources said.
",20,77
"한편 웨스트는 스피어스의 출연을 노골적으로 비난했다.
","The ever-outspoken West had some less-than-kind words for Spears and MTV.
",30,74
"그러나 잠시 후 매들린이 사라졌다는 것을 알게 됐다.
","However, later in the evening they discovered she was missing.
",30,63
"그는 귀국해 무샤라프의 독재를 막을 것이라 경고했다.
","He vowed to return to challenge Musharraf's bid to extend his rule.
",30,68
"취임식을 했다고 보도했다.
","But anyone can enjoy his views.
",15,32
"▲다이애나비 10주년 추모식 열려
","Liechtenstein is made up of 11 villages.
",19,41
"▲그밖의 인물
","country's capital.
",8,19
"우표는 리히텐슈타인의 중요한 재원이다.
","""The president made a clear statement of his support for ending the Korean War once and for all, and both leaders agreed on that.
",22,130
"미국 남부로 조지아주 토속 음식 여행을 떠나보자.
","T+L heads south to get a taste of some of Georgia's best homegrown talent.
",28,75
"퀴노네스(Quinones)
","Quinones
",15,9
"테이블 1280 (Table 1280)
","Table 1280
",22,11
"은 우아한 미니멀리즘의 전시장이 있다:
","lunch for two $45) is a showcase of elegant minimalism:
",22,56
"낮에는 점심을 먹는 캐시미어 의상을 착용한 여성들;
","THE SCENE By day, cashmere-draped ladies who lunch;
",29,52
"크로그바(Krogbar)
","Krogbar
",14,8
"주인장 루스번의 공간 옆에 소형 바가 있다.
","dinner for two $40), a pocket-size wine bar from the owners of Rathbun's next door:
",25,84
"호박색 조명과 멋스러운 오두막 분위기다.
","the amber lighting and the chic log-cabin feel;
",23,48
"설탕으로 요리한 양파를 곁들인 구운 돼지고기 요리:
","braised pork with caramelized onions;
",29,38
"아몬드 버터 염소 치즈와 사과 샌드위치
","dainty almond butter, goat cheese, and apple tramezzini.
",22,57
"미국서 벌떼 폐사는 지난 2004년 처음 보고됐다.
","Signs of colony collapse disorder were first reported in the United States in 2004, the same year American beekeepers started importing bees from Australia.
",29,157
"이 사진이 언제 촬영된 것인지는 밝혀지지 않았다.
","It was not clear how old the photograph was. Watch Wolf Blitzer's report on the video &raquo;
",28,94
"이같은 결과를 매해 낳을 수 있길 바란다”고 말했다.
","""It was just a perfect ending to a perfect summer. Hopefully, we can do this every year.
",30,89
"LA 역시 100도를 웃돌 것으로 예상된다.
","Downtown Los Angeles also was expected to see temperatures climb above 100.
",25,76
"시원한 날씨는 며칠 후에나 올 것이라고 보인다.
","Relief was in sight with cooler temperatures forecast over the next several days.
",27,82
"현악 4중주 밴드 위로는 큰 창이 나있다.
","Above the quartet is a high window.
",24,36
"창밖으로 10대 청소년의 머리가 보인다.
","Teenage heads bob into sight straining and craning on tiptoe to look in.
",23,73
"체코에서 맥주는 기본적인 음료이다.
","Here, beer is the default drink.
",20,33
"이 나라에서는 맥주잔이 물잔처럼 테이블을 차지한다.
","It hits your table like a glass of water does in the States.
",29,61
"그러나 체코 사람들은 그렇지 않다.
","But not the Czechs.
",20,20
"체코 맥주는 체코 바 의자에 우리를 앉혀놓는다”
","Our beer keeps us glued to these bar chairs. ""
",27,47
"그는 현재 자신의 혐의를 부인하고 있다.
","The actor, however, denied the allegations on Wednesday.
",23,57
"또 다른 범죄를 막기 위해 노력해야 한다고 전했다.
","""At yesterday's regular presser, we already answered a similar question.
",29,73
"한편 이들은 여섯 자녀의 부모다.
","They are the parents of six children;
",19,38
"그러나 리키는 이미 숨진 뒤였다.
","Rikki was found dead in the shaft.
",19,35
"거의 마술같은
","Colors appear softer.
",8,22
"그러나 다르푸르 사태의 해법을 찾는 것은 쉽지 않다.
","""My goal is to lock in the progress we have made so far, to build on it so that this terrible trauma may one day cease.
",30,120
"이것은 1년간 배삯을 약 3.5% 인상해 마련했다.
","It expects to pay that back by increasing ship tolls an average of 3.5 percent a year.
",29,87
"베네데티는 지난 4월 경찰에 합류했다.
","Benedetti joined the Vatican police corps in April, the statement said.
",22,72
"카인디는 이 사고에 대해 아직 조사 중이라고 밝혔다.
","Kaindi said the accident was still under investigation.
",30,56
"바스라궁 치안 임무 이양은 이라크에서 3번째이다.
","The palace was the third.
",28,26
"이 결과에 놀라는 사람이 별로 없을 수도 있다.
","No one should be shocked by these results.
",27,43
"여객기, 특별기, 전용기 등등…
","big jets, executive jets and private planes.
",18,45
"올 여름 여객기 이용자들은 힘들 한 달을 보냈다.
","And for air travelers, it's been a rough couple of months.
",28,59
"2008년 여름 휴가를 위해서 여권을 미리 마련하자.
","This might be a good time to get that passport for your 2008 vacation.
",30,71
"그러나 읽는 것을 모두 믿을 필요는 없다.
","Don't believe everything you read.
",24,35
"교훈:
","Lesson learned:
",4,16
"내년 여름에는 자동차를 이용할 것.
","Next summer, drive.
",20,20
"6.휘발유 값 폭등이 당신의 휴가를 망칠 수도 있다.
","6. It takes more than high gas prices to ruin a vacation.
",30,58
"7.날씨는 언제나 번명의 수단이 될 수 있다.
","7.
",26,3
"이번 여름은 변덕스러운 날씨의 연속이었다.
","The weather is a great excuse for ... anything.
",24,48
"항공사가 날씨를 탓할 때 항상 의문을 가져라.
","When your airline blames the weather, question it.
",26,51
"'원스'의 줄거리는 단순하다.
","""Once"" works so well by keeping it simple.
",17,43
"'슈퍼배드'같은 영화들을 헐뜯는 것이 아니다.
","That's not a put-down of ""Superbad,"" by the way.
",26,49
"감사의 뜻을 표하며 성 바오로의 에페소서를 낭독했다.
","He read from St Paul's letter to the Ephesians.
",30,48
"현재 연방 법무청이 이 사건을 조사중이다.
","The federal Attorney General's Office is investigating the incident.
",24,69
"그는 지난 2003년 부터 재정부장관을 역임해왔다.
","He has been finance minister since 2003.
",29,41
"무언가가 나를 다시 뉴질랜드로 이끌었다.
","Something keeps drawing me back to New Zealand.
",23,48
"뉴질랜드의 해변은 이국적인 풍경을 자랑한다.
","The soundtrack is the insistent chirping of crickets.
",25,54
"따뜻한 날씨는 11월 말에서 12월 초에 시작된다.
","The warm weather season begins in late November and early December, but you'll want to plan way ahead for your trip.
",29,117
"뉴질랜드행 항공료는 10월이 가장 저렴한 편이다.
","(I visited in February, and the cheap airfares were gone by October).
",28,70
"뉴질랜드에서는 또 다이빙을 즐길 수도 있다.
","Driving in New Zealand is easy.
",25,32
"또 6일간 계속된 산불로 최소 63명이 사망했다.
","At least 63 people have lost their lives after six days of fires.
",28,66
"베니스의 세인트마크 광장도 이곳에서 재현됐다.
","The resort also features a replica of Venice's St. Mark's Square.
",26,66
"“나중에”
","Later!
",6,7
"나의 책상에는 여행에서 촬영한 사진들이 가득하다.
","But I'm convinced at least a few digital snapshots in our case with lots of goofy faces are the best souvenirs to bring home.
",28,126
"호츠는 “올 여름은 환상적으로 지나갔다”고 주장했다.
","""This has been a great end to a great summer,"" Hotz wrote.
",30,59
"사고 후 이틀이 지나 구조대는 구조 작업을 포기했다.
","Two days later, rescue efforts were called off.
",30,48
"카르스니아는 그곳에 종이는 없었다고 말했다.
","""It should be noted that there was not a piece of paper on the bathroom floor, nor did Craig pick up a piece of paper,"" Karsnia wrote.
",25,135
"AKP는 전체 550석 중 341석을 차지했다.
","The AK Party has 341 seats in the 550-seat chamber.
",27,52
"그러나 이제 이것은 과거의 얘기가 됐다.
","But that may be changing, at least in a small way.
",23,51
"이 산책로는 오는 9월부터 일반에 개방된다.
","The project has grown to include a new wheelchair-accessible boardwalk.
",25,72
"이들은 헬기를 통해 베이프론트 메디컬센터로 이송됐다.
","Both were flown by helicopter to Bayfront Medical Center, Shelor said.
",30,71
"그러나 일반인들과 고객들의 반응은 다르다.
","But eventually customers and the public will demand answers, they say.
",24,71
"스칼렛 요한슨에게 인생은 즐겁다.
","LOS ANGELES, California (CNN) Life is good for Scarlett Johansson.
",19,67
"우디 알렌과의 작업은 어떤가?
","Are you Woody Allen's new muse?
",17,32
"스칼렛 요한슨:
","SCARLETT JOHANSSON:
",9,20
"우린 함께 일하는 것을 좋아한다.
","We like to work together.
",19,26
"좋은 유대 관계를 유지하며 촬영 중이다.
","It's an easy working relationship and a really nice friendship, so it works out.
",23,81
"'내니의 일기'의 어떤점에 이끌렸나?
","What attracted you to ""The Nanny Diaries""?
",21,43
"요한슨:
","JOHANSSON:
",5,11
"그래서 그들을 만났고 놀랍게도 잘 어울렸다.
","So I met with them ... and we just got along incredibly well.
",25,62
"그것이 나를 이 영화로 이끌어주는 계기가 됐다.
","That's what attracted me to the project to begin with.
",27,55
"고향인 뉴욕에서의 촬영은 어땠나?
","How did you like working in your hometown?
",19,43
"뉴욕은 영화 촬영하기에 매우 훌륭한 도시다.
","New York is such a great city to shoot in. ...
",25,47
"그 곳에서 영화를 찍는 일은 무척 재밌다.
","It's been a long time since I've been able to shoot at home and it's just so much fun.
",24,87
"준비중인 앨범은 어떤가?
","What about this album you're releasing?
",14,40
"모두 탐 웨이츠의 노래를 리메이크한 것인가?
","It's all Tom Waits covers?
",25,27
"물론 그와 똑같이 노래를 부르는 것은 불가능하다.
","Obviously, it's not an album where I'm trying to sound like him.
",28,65
"음악에 관심이 많은가?
","Has music always been an interest of yours?
",13,44
"노래하는것을 좋아하고 모든 종류의 음악을 듣는다.
","I've always loved to sing and I've always loved music and listened to lots of music and all kinds of music.
",28,108
"어떻게 그렇게 바르게 생활하는가?
","How do you stay on track?
",19,26
"그러한 것들이 꼭 필요하다 생각하지 않는다.
","I don't think necessarily that there's trouble looming around the corner for everyone involved in this industry.
",25,113
"갑자기 어떠한 언급도 없이 그가 사라져 버렸다.
","Suddenly and without warning, the Hamas leader appeared.
",27,57
"그들은 우리가 무엇에 대해 얘기하는지 듣고 싶어했다.
","They wanted to hear what he had to say as much as we did.
",30,58
"인터뷰 중반 경호원이 그에게 전화가 왔음을 알렸다.
","In the middle of the interview, one of his guards handed him a cell phone.
",29,75
"인터뷰 도중 집 주위를 둘러보는 것은 불가능했다.
","During the interview, it was impossible not to look at our surroundings.
",28,73
"그곳은 암살을 피해 지은 하마스 지도자의 은신처였다.
","This was a safe house where the leader of Hamas avoids assassination attempts.
",30,79
"은신처는 단순한 건물이었다.
","The safe house was a simple building.
",16,38
"마샬은 정교하고 신중한 사람이었다.
","Meshaal is a complicated, calculating man.
",20,43
"그들은 마샬의 귀에 독약을 투여했다.
","They injected poison into his ear.
",21,35
"또 다른 헬기는 프릭사 마을로 보내졌다.
","Another was sent to the village of Frixa.
",23,42
"""매우 심각한 병으로 예상된다""고 덧붙였다.
","The prognosis is very serious,"" said a medical report issued by the Virgen del Rocio hospital in Seville.
",25,106
"세계식량계획은 이미 북한에 긴급 구호물자를 전달했다.
","The World Food Programme has already started distributing emergency food rations.
",30,82
"그는 당초 윌리엄과 해리 왕자의 초대를 수락했다.
","Camilla had been invited to attend the ceremony by Princes William and Harry and had initially accepted.
",28,105
"..
",".
",3,2
"이 조직은 널리 퍼져나갔다.
","The organization is sprawling.
",16,31
"현재 이라크에 남아있는 구호단체들은 많지 않다.
","Further complicating matters is the fact that few aid organizations remain in Iraq;
",27,84
"라고 아버지에게 수시로 확인하고 있다.
","When informed of the news in Baghdad, Youssif ran around his house, saying, ""Daddy, daddy, am I really going to get on a plane?!
",22,129
"이 사건은 현재 조사중이다.
","The case is under investigation.
",16,33
"현재 교도소측이 이들의 신원을 파악하고 있다.
","The rest of the prisoners were rounded up
",26,42
"54세~64세 중 73%가 성행위를 한다고 대답했다.
","Discussion of the sex habits of American seniors has received little attention, even from scientists.
",30,102
"그러나 그런 현상은 모든 사람에게 해당되지는 않는다.
","But not for everybody.
",30,23
"그들은 이틀 후 체포 됐다.
","They were arrested two days later.
",16,35
"무중력 상태에 적응하는 것은 매우 힘들다.
","CAPE CANAVERAL, Florida (CNN) Adapting to weightlessness was hard.
",24,67
"이밖에도 10명은 경상을 입었다.
","Ten people were slightly injured.
",19,34
"NEW YORK(CNN)/권성근(JOINS)
","Early New Englanders used them in jams.
",25,40
"이란은 아주 평화적인 합의였다고 전했다.
","Iran insists its plans are peaceful.
",23,37
"이 팔씨름 기계는 일본에서만 보급돼있다.
","The arcade machine is not distributed overseas.
",23,48
"한편 미군 전체 사망자수는 3700명에 달했다.
","The number of U.S. military deaths in the war stands at 3,700.
",27,63
"미 국방성 소속 직원 7명도 이라크서 숨졌다.
","Seven civilian Defense Department employees also have been killed.
",26,67
"악어가 출몰하는 위험한 곳에서 지냈다""고 전했다.
","""We live near a swamp and the crocodiles come out.
",28,51
"이제 정규 신청은 10주에서 12주가 걸린다.
","A regular application now takes 10 weeks to 12 weeks.
",26,54
"이 사고후 영화 촬영은 잠시 중단됐다.
","Filming was halted after the accident.
",22,39
"현재 그의 부인 3명 중 2명은 임신을 한 상태다.
","Two of his current three wives are also pregnant.
",29,50
"그러나 제노아만의 장점이 있다.
","Though Genoa can't elbow past Rome, Venice and Florence amid Italy's must-see cities, it is a fabulous spot.
",18,109
"그러나 길을 잃어버리는 것도 관광의 일부분이다.
","But getting lost is part of the fun.
",27,37
"한편 제노아는 3세기까지 무역의 중심지 역할을 했다.
","Genoa was an important trade center by the third century B.C.
",30,62
"제노아는 십자군 전사들에게 허브 항구 역할을 했다.
","Genoa offered a jumping off spot for the Crusaders.
",29,52
"또 13~16세기까지 유럽 정치의 중심지였다.
","And, it was a major player in European politics from the 13th through 16th centuries.
",26,86
"이들 성의 정원은 현재 일반에 공개되고 있다.
","And others have courtyards open to the public.
",26,47
"그는 은퇴후 계획에 대해서는 입을 열지 않았다.
","He would not say what he plans to do after leaving.
",27,52
"그는 더트의 유죄를 반대하는 탄원서를 제출했다.
","The lawyers had petitioned the court against his conviction.
",27,61
"낙타의 처리 문제에 대해서는 아직 알려지지 않았다.
","The fate of the camel is not known.
",29,36
"1972년 그는 헤리 헴슬리와 결혼식을 올렸다.
","She married Harry Helmsley in 1972.
",27,36
"5000만명의 블로거가 그의 사이트에 다녀갔다.
","Fifteen-thousand bloggers were responding monthly this summer.
",27,63
"결국 그들은 레빈을 축복속에 떠나보내야 했다.
","In the end, they mostly sent him God's blessing.
",26,49
"장례식은 비공개로 치러진다.
","The funeral will be private.
",16,29
"종교적 의식만이 아니다.
","This is not just religious ritual.
",14,35
"그들은 요르단강 서안을 비롯한 이스라엘을 지지한다.
","They support Israel which to them includes Jewish settlements on the occupied West Bank.
",29,89
"당국은 주민들에게 허리케인에 대비할 것을 촉구했다.
","People were urged to complete preparations for an ""extremely dangerous"" storm.
",29,79
"거주자 약 13만명이 정부의 경고에따라 대피했다.
","Most of the 130,000 residents in the coastal city appeared to have heeded government warnings to seek shelter or evacuate.
",28,123
"칸쿤이나 코수멜같은 휴양지도 사람들이 빠져나갔다.
","Coastal resorts such as Cancun and Cozumel largely emptied.
",28,60
"사우디 농림부는 가금류 수입을 금지시켰다.
","Saudi Arabia's Agriculture Ministry has lifted bans on poultry imports.
",24,72
"이들은 또한 대통령 임기와 관련된 조항을 없앴다.
","They also removed any limit on how many terms he can serve as president.
",28,73
"US오픈은 오는 27일 개최된다.
","The U.S. Open starts on Aug. 27.
",19,33
"팔로미노의 부모도 그중 일부였다.
","Palomino said his own parents were among them.
",19,47
"아기 부모의 신원과 거주지는 아직 밝혀지지 않았다.
","Palomino brought the infant, whose parents have not been located or identified, to the nearby coastal town of Paracas.
",29,119
"한편 이번 지진으로 최소 540명이 사망했다.
","The couple's house was destroyed in the quake, which killed at least 540 people.
",26,81
"마르티니크에서는 2명이 목숨을 잃었다.
","Two more people died on Martinique, The Associated Press reported, citing local authorities.
",22,93
"지구 온난화와 암흑에 싫증난 적이 있는가?
","LOS ANGELES, California (CNN) Tired of global warming doom and gloom?
",24,70
"칼이나 바늘은 필요 없다.
","(CNN) You can do it without knives or needles.
",15,47
"첫번째:
","First stop:
",5,12
"무엇이 이 변질을 가속화 시키는가?
","What speeds up the degeneration?
",20,33
"그것은 바로 태양 노출이다.
","Sun exposure.
",16,14
"세번째: 치아에 약간의 색깔 변화가 필요한 것 같다.
","Now, my teeth seem to need a little color correction of their own
",30,66
"그는 ""올슨은 매우
","""Mary-Kate has huge energy,"" he says.
",11,38
"또 유가와 금 가격은 떨어졌다.
","Oil and gold prices tumbled.
",18,29
"이달들어 벌써 44명의 병사가 사망했다.
","Forty-four troops have died this month.
",23,40
"그는 벽돌 일부분은 소년에게 떨어졌다고 덧붙였다.
","Part of the pillar also fell on the boy, he added.
",28,51
"그의 목소리에는 노여움과 좌절이 묻어있었다.
","Anger and frustration rise in her voice as she speaks.
",25,55
"남편은 그가 도우미일을 한다는 사실을 알고 있다.
","Suha's husband thinks that she is cleaning houses when she goes away.
",28,70
"카리마 가족을 살펴 보자.
","So does Karima's family.
",15,25
"그에게는 8세부터 17세까지 5명의 아이가 있다.
","She has five children, ages 8 to 17.
",28,37
"수하와 카리마는 일주일에 2차례 매춘을 한다.
","Both Suha and Karima have clients that call them a couple times a week.
",26,72
"이번 폭염과 습기로 에어컨과 전력 사용량이 증가했다.
","The summer heat and humidity result in greater use of air conditioners, boosting electricity demand.
",30,101
"고소장에는 이 추격전의 원인에 대해 나와있지 않았다.
","The lawsuit doesn't provide a reason for the chase.
",30,52
"팩은 라이스와 함께 운전 중이었다.
","Peck was driving the vehicle carrying Rice.
",20,44
"뒤이어 로한은 경찰에 체포됐다.
","Lohan was arrested a short time later.
",18,39
"이들의 나이는 16~39세 사이였다.
","All were aged between 16 and 39, police said.
",21,46
"희생자들은 2대의 차량에서 발견됐다.
","The victims were found in two vehicles.
",21,40
"부상자수는 320명에 이르는 것으로 보고됐다.
","320 were reported wounded.
",26,27
"세일 기간을 기대해라.
","Expect to bargain.
",13,19
"수입품과 모조품등을 볼 수 있다.
","The offerings are a mix of local design plus some imports and knockoffs.
",19,73
"그러나 다스 코치는 혐의사실 일체를 부인했다.
","Das denied the allegations against him were true.
",26,50
"부디아 싱의 아버지는 그가 7개월 때 사망했다.
","Budhia Singh's father died when the boy was 7 months old.
",27,58
"그는 일주일 전에도 체포된 바 있다.
","Police first arrested the man, 20, a week ago.
",21,47
"그것도 아니면 단지 운이 없는 것일까?
","Capricious, mercurial or just unlucky?
",22,39
"애플게이트는 영화 '앵커맨(Anchorman:
","Applegate has starred in movies including ""Anchorman:
",26,54
"두 사람 사이에 아이는 없다.
","and 2005's ""Sea of Dreams.
",17,27
"이 압박이 장수훙의 자살을 초래한 것으로 보인다.
","It is common for disgraced officials to commit suicide in China.
",28,65
"홍콩에 있는 리더 본사 관계자는 인터뷰를 거절했다.
","A man at Lee Der's main office in Hong Kong said the company was not accepting interviews and hung up.
",29,103
"로브는 사임 이후 공화당에 합류할 것으로 보인다.
","The resignation sparked speculation over whether Rove will soon join the campaign of a GOP candidate.
",28,102
"로브는 이번 주말 워싱턴으로 돌아갈 예정이다.
","Rove intends to return to Washington over the weekend, according to a White House official.
",26,92
"그리고 두 명 모두 손가방을 들고 있었다.
","Both carried bags with them, AP said.
",24,38
"에어로의 통계치:
","Aero statistics:
",10,17
"각각의 마을에는 12세기풍의 교회가 있다.
","Each town has a fine 12th-century church.
",24,42
"실내는 고딕풍의 페인트가 칠해져 있다.
","The interiors are still painted, as a Gothic church would have been.
",22,69
"마틴 루터 킹 주교의 초상화도 걸려 있다.
","A portrait of Martin Luther hangs in the stern keeping his Protestant hand on the rudder.
",24,90
"최초의 여자 주교인 자넷이 현재 주교이다.
","The current pastor,a Janet, is the first woman on the list.
",24,60
"바다로 내려가는 계단에는 흙이 질퍽질퍽 하다.
","The land steps in sloppy slabs down to the sea.
",26,48
"모든 유럽에서 교회는 기원전의 성스러운 유적이다.
","As they do all over Europe, churches mark pre-Christian holy sites.
",28,68
"이 교회는 신석기 시대 묘지였었다.
","This was an early Neolithic burial place.
",20,42
"레이크카운티는 캘리포니아의 대표적인 와인 생산지다.
","The fun center of the wine country
",29,35
"여기서는 빼놓을 수 없는 것이 있다.
","Among those is the only boat-in winery we've ever heard of.
",21,60
"미국과 러시아도 협상단에 속해 있다.
","Other members of the troika are the United States and Russia.
",21,62
"나는 항상 연출가였다""고 전했다.
","""I was the producer, always the producer.
",19,42
"그들은 1973년 성격차이로 이혼했다.
","The couple divorced in 1973 because of ""irreconcilable differences.
",22,68
"페더러는 조코비치의 경기에 대해 칭찬했다.
","Federer praised Djokovic's performance.
",24,40
"한편 사상자들의 신원은 공개되지 않았다.
","The soldiers' names and nationalities were not released.
",23,57
"대면협상은 11일에도 계속됐다.
","The talks continued Saturday.
",18,30
"얼음은 열이 나는 몸에 문지를수 있다.
","Ice is available in the room for those who want to rub it on steaming skin.
",22,76
"중국은 현재 수출품 반송 문제로 골머리를 썩고있다.
","The recall is among a series of recent problems involving imports from China.
",29,78
"그러나 제조업체는 이러한 사실을 부인했다.
","Hangzhou Zhongce has denied that, asserting that the design did not include a gum strip.
",24,89
"파키스탄 의회도 올해 말 기한이 만료 될 예정이다.
","The National Assembly's term also expires at the end of the year.
",29,66
"우주 정거장은 현재 57% 정도 완성됐다.
","The space station is currently almost 250 tons and 57 percent complete.
",24,72
"이 지진으로 인해 많은 사람들이 대피했다.
","According to CNN's Kathy Quiano, the shaking caused many in the capital to flee their homes.
",24,93
"지진은 짧은 시간 동안 일어났지만 매우 강력했다.
","""We felt the earthquake in Jakarta, it was pretty strong and went on for at least a minute,"" Quiano said.
",28,106
"15명은 행방불명이다.
","Another 15 people were missing.
",13,32
"그는 ""크라이슬러에게 희망이 보인다""고 전했다.
","""I do think now that Chrysler has a very bright future.
",27,56
"이들 중 일부는 부인과 자녀들을 데리고 왔다.
","Some brought their wives and children.
",26,39
